totmou;totrev;creditcd;eqpdays;Customer_ID
7269;90658;Y;371;1082423
13552;117225;N;83;1069232
4152;57739;Y;675;1031705
1863;29426;Y;218;1089806
4155;43316;N;222;1076695
5441;5788;Y;68;1091652
7294;149518;Y;460;1043846
4395;66823;N;333;1088967
11544;101264;Y;498;1045239
3751;119989;Y;592;1046584
288;37498;Y;284;1076771
2030;102631;Y;439;1057800
1928;39678;Y;261;1083737
4078;125705;Y;1019;1008539
4874;24677;Y;507;1056697
810;24094;N;131;1097730
4411;125291;Y;741;1020126
2781;59026;Y;276;1078557
24069;212974;Y;199;1018015
284;82515;Y;4;1016607
5960;190245;Y;809;1015068
1330;89834;Y;877;1013855
12625;99267;Y;552;1044329
10194;108904;N;209;1088984
9223;145224;N;745;1029191
5699;105228;Y;109;1045505
3706;7343;Y;255;1021478
9195;95963;N;486;1040941
1489;98218;Y;958;1005998
6282;72954;Y;357;1064411
6721;92603;Y;893;1016302
6346;145343;Y;460;1013751
1834;61087;Y;575;1029380
9703;9523;N;135;1091059
36302;502037;Y;257;1008208
1989;38885;N;206;1091061
12620;195949;Y;509;1023685
1502;69012;Y;603;1035097
59449;353109;Y;380;1015658
11271;6718;N;440;1068005
2066;49982;N;168;1055064
3385;42899;N;311;1091273
2151805;276967;Y;657;1001867
1438;44547;Y;304;1062755
5684;85765;;244;1072218
10517;1108;N;307;1056368
2842;60676;Y;564;1032592
925;37312;;344;1066597
5124;65227;N;377;1068315
21991;280908;Y;241;1005704
2524;19684;N;580;1047767
3981;64393;Y;331;1068378
4957;82692;Y;790;1013047
4120;118664;Y;902;1011089
9121;81408;N;71;1045750
9275;53659;N;126;1076112
4787;117396;Y;333;1076198
1737;52276;Y;403;1056196
7736;134868;Y;245;1027338
10267;80471;Y;353;1086911
4060;50372;Y;340;1088347
2097;142131;Y;569;1007086
3639;27621;Y;111;1054933
7533;125063;Y;641;1028649
1636;54383;Y;363;1085074
4210;102872;N;428;1051671
5871;46814;Y;254;1053959
15067;17055;Y;45;1027630
3727;162976;Y;566;1049266
2038;100084;N;796;1019146
2152;82812;Y;461;1048761
2892;110253;Y;219;1002366
6675;80392;Y;121;1028772
3275;32441;Y;318;1070208
14502;177655;N;748;1019471
1320;44591;Y;325;1089778
2863;80941;Y;618;1019639
9213;114179;N;420;1046932
18750;148502;Y;534;1046285
8167;67236;N;332;1068224
2022;8154;N;661;1018335
6047;54566;Y;40;1089902
4668;87359;Y;408;1055525
6648;59021;N;295;1074220
9579;126147;Y;194;1051859
1343;41731;Y;324;1059340
3456;51472;Y;18;1071184
3187;59087;Y;16;1062599
3714;69167;Y;257;1048824
3841;99841;Y;931;1007540
2293;75349;Y;578;1047944
17206;91949;N;114;1011210
1457;96514;Y;697;1017236
3968;46462;N;381;1079315
1566;49235;Y;321;1090228
612;101533;Y;725;1021284
4707;169276;Y;345;1004669
26249;225427;N;144;1049782
5845;133898;Y;459;1042810
6410;76904;Y;136;1063964
2664;5885;Y;332;1057553
11980;72505;Y;299;1032537
2230;58861;N;543;1040496
8190;11905;N;235;1050396
557;50258;Y;982;1099007
1177;46256;Y;460;1065065
12698;14507;Y;408;1033811
1312;48851;Y;491;1059746
2242;149423;Y;940;1011394
14566;157938;N;84;1035282
3130;119617;Y;216;1090168
6112;7027;Y;381;1079231
6038;90162;Y;525;1028759
1928;105133;Y;779;1016781
5886;55861;Y;151;1011051
2574;54043;N;412;1062791
8462;35098;Y;282;1049228
32828;271213;N;184;1011205
19030;227521;N;198;1010813
1481;26654;N;280;1077754
1702;68468;Y;845;1015584
4847;4085;Y;205;1066934
4010;49673;Y;374;1081581
3920;16944;Y;1377;1002146
5513;43169;Y;502;1044749
2254;43967;Y;608;1025479
3541;77537;Y;630;1038121
14466;224376;;387;1023352
11701;1919;N;451;1013487
3641;42878;N;137;1091035
1739;7874;Y;770;1017405
6211;136801;N;793;1012932
13860;143406;Y;655;1034603
7659;111436;Y;657;1021722
2193;44663;Y;211;1090513
26547;3023;N;142;1099059
34375;525198;Y;288;1015715
9311;43432;N;229;1085015
2097;89978;Y;806;1018201
15127;179477;Y;522;1028674
7263;212278;N;879;1099655
12649;166135;Y;364;1025682
1321;51689;Y;530;1041906
12812;151197;Y;3;1060840
6701;86552;Y;533;1046369
7440;174368;Y;915;1099039
3784;53439;Y;317;1060712
18088;163606;Y;436;1098085
31645;188065;N;131;1079795
7943;124537;Y;81;1007795
380;14415;Y;333;1076178
1973;54395;N;406;1063735
1479;19557;Y;306;1062478
485;14104;Y;323;1055853
7960;123395;N;185;1019827
5264;100063;N;136;1052250
3204;118196;Y;807;1023169
3258;7508;Y;735;1015682
6619;86561;N;554;1033966
4872;15809;Y;489;1040133
21199;192783;Y;451;1023124
2820;51921;Y;488;1060278
5889;73281;Y;203;1082182
2432;73301;Y;631;1023631
13702;103506;Y;68;1091010
6452;43171;Y;307;1083816
8871;73063;Y;353;1065210
11249;121661;Y;106;1039541
6908;18653;Y;65;1038161
5458;77872;Y;574;1029772
3317;168233;Y;96;1005423
517;16564;Y;1638;1097898
6407;31285;N;307;1062289
7402;200864;Y;812;1017691
9695;150525;N;332;1089051
14068;77267;N;38;1087178
1978;25911;Y;288;1065784
722;32869;Y;325;1089735
13877;49801;N;244;1091896
14793;51022;Y;268;1094422
6592;147535;Y;880;1013735
2681;76426;Y;674;1038362
36563;20533;Y;81;1024580
3921;35314;N;191;1097212
4312;93587;N;458;1065562
461;25867;N;207;1094369
7846;91968;Y;348;1063658
5218;29825;Y;470;1048099
17673;124641;Y;140;1047382
3354;52971;N;378;1079861
4754;4549;Y;15;1062868
1152;18876;Y;341;1066989
2044;86849;N;461;1054447
10369;150474;N;198;1055172
176;63151;Y;1121;1006223
10227;67111;Y;500;1057695
293;30277;Y;408;1055498
28228;230775;N;175;1035849
11915;137091;Y;228;1052776
11218;64884;Y;13;1080979
71;10232;Y;198;1096953
9891;206443;Y;288;1017192
2443;25032;Y;41;1057649
11940;117216;N;776;1025580
1005;57409;Y;725;1033727
12571;101976;N;676;1020389
3138;4258;Y;193;1095059
1705;60153;Y;569;1031092
3005;123529;Y;1045;1007025
4115;66307;Y;97;1093205
7739;97534;Y;544;1040422
1701;24776;Y;504;1044645
1873;4181;N;374;1061517
3580;1362;Y;211;1015533
5550;163853;Y;675;1020430
7722;7292;Y;320;1079122
16787;152018;Y;405;1073746
9406;78609;Y;383;1059857
513;52779;N;534;1035552
13477;189871;N;777;1009778
18698;260445;N;610;1019236
1832;48709;Y;771;1026030
2228;51052;Y;272;1088924
2821;48302;N;362;1085161
16055;145749;Y;447;1050744
22358;210018;N;191;1024718
2189;71242;N;495;1058824
959;10524;Y;25;1074541
331;21704;N;507;1044265
16079;255739;Y;234;1012204
30744;225144;Y;396;1007984
11173;133545;N;682;1029607
216;58866;N;253;1078433
35613;329649;Y;105;1002619
1162;43173;N;432;1050920
5557;35022;N;185;1086639
3094;56784;Y;733;1032524
1648;29444;N;206;1094469
3250;39795;Y;327;1089547
576;25452;Y;212;1078984
2884;93318;Y;734;1023989
1910;10636;Y;119;1026898
9608;8766;N;8;1075560
3005;71704;Y;241;1030527
5351;112045;Y;990;1007748
4154;70038;Y;461;1042656
1859;66186;Y;403;1074063
1611;72429;Y;310;1082548
36644;324849;Y;399;1065069
5556;113247;Y;522;1047480
4932;73861;N;214;1065051
1319;2877;Y;229;1075065
688;32143;Y;233;1088350
2504;75679;;495;1045521
3774;148388;Y;1050;1001932
5738;109467;Y;573;1026798
7067;87251;N;18;1071222
4713;34765;Y;546;1045008
3494;60426;Y;454;1066125
3223;32844;Y;194;1097055
238;28455;Y;319;1090433
7233;136334;Y;239;1006388
14967;109977;Y;52;1071057
496;28428;Y;261;1083624
12032;154409;Y;-3;1039062
14528;183625;Y;348;1006422
2529;13917;Y;426;1046324
11658;116369;N;473;1041363
16408;162189;N;675;1029681
1977;55433;Y;347;1066152
728;54242;Y;804;1018300
6616;42801;Y;433;1059030
3995;74618;Y;492;1018980
11464;133629;N;556;1039221
4189;99595;Y;166;1022995
10224;195783;Y;490;1051131
2357;55013;N;359;1085773
15342;145332;Y;643;1027191
10511;15507;N;900;1008888
867;37722;Y;397;1075392
7659;176572;Y;694;1035670
3867;3516;Y;330;1068435
3455;29082;Y;95;1057755
20286;23943;Y;650;1003786
35575;323465;N;110;1020752
2247;45202;N;188;1067870
2432;9305;N;315;1080605
4248;113252;Y;437;1099334
492;18428;Y;376;1068450
4298;50089;Y;62;1054066
1875;78636;Y;98;1042885
1354;39257;Y;317;1065402
14334;159956;Y;370;1005411
2234;40001;Y;235;1088085
4472;60144;Y;8;1087888
1922;46101;Y;301;1092224
11601;111467;Y;340;1088306
8200;84623;Y;31;1046760
611;42192;Y;1258;1098102
3802;67846;Y;200;1036553
934;53291;Y;530;1041879
7428;90598;N;234;1088241
2670;62175;Y;339;1064715
469;36525;N;237;1092474
442;47326;N;351;1072414
321;28304;N;200;1096855
2080;109449;Y;740;1030345
5741;85518;Y;334;1057302
8297;144228;Y;425;1070297
280;97076;Y;602;1033802
13353;75472;Y;201;1083101
3710;70606;Y;244;1083107
7313;134029;Y;322;1069709
5791;82859;Y;608;1034736
16284;66124;Y;580;1047699
3978;122961;Y;159;1003041
22700;243102;N;199;1069086
1241;74584;Y;736;1031618
5748;7155;Y;679;1030534
6706;72462;N;277;1067275
3755;84345;N;205;1091134
3177;140143;Y;242;1019071
17245;14597;Y;336;1028216
2405;32254;Y;197;1096980
6142;80594;Y;559;1033407
15284;94596;N;4;1036707
1638;65924;Y;569;1031169
10323;154701;Y;11;1016046
35754;502968;Y;813;1017671
3125;32044;Y;303;1063027
6113;147413;Y;686;1037262
3213;52606;N;361;1063689
3127;62432;Y;461;1064926
4879;101034;Y;400;1012613
3284;113249;Y;128;1055424
2838;45905;N;310;1082424
2871;58675;Y;400;1056712
2680;40037;Y;306;1084123
16529;141519;N;170;1056945
6794;81565;Y;708;1017425
3993;46795;Y;483;1060351
4784;123977;Y;763;1011689
21534;234026;N;182;1049457
4666;30243;N;351;1065467
19756;252162;Y;308;1018270
4714;91528;N;356;1064705
11798;96658;Y;536;1035416
3911;77484;Y;452;1055842
2062;75957;Y;729;1024391
15190;116505;N;57;1066999
20553;106175;N;48;1007332
13828;178453;N;515;1043981
2235;12245;Y;281;1077541
2613;6717;Y;934;1097679
2926;33892;Y;305;1062662
8141;58049;Y;306;1077297
45447;403472;Y;115;1002013
16700;266778;Y;330;1068448
16509;228389;Y;1170;1003795
12225;193763;Y;82;1024220
5644;106798;Y;132;1088995
9147;48994;Y;364;1084884
13138;111252;Y;550;1034322
9891;72209;Y;122;1064729
655;23813;N;199;1083897
6790;143792;N;427;1015137
2855;31263;Y;351;1051380
9630;103615;N;393;1057764
11215;15347;Y;125;1011113
8379;101566;N;175;1009905
1548;37181;N;274;1079311
8639;99272;Y;83;1031281
5071;9192;Y;52;1050678
821;60834;Y;371;1034511
5031;84554;Y;364;1099670
5868;71496;Y;139;1038669
24468;95944;N;322;1078621
2596;76458;Y;126;1089748
3038;59284;Y;148;1072942
7696;11629;Y;418;1047165
19771;155983;Y;196;1015789
7258;24943;N;248;1086436
8000;146112;Y;518;1043233
2140;113999;Y;727;1016106
2799;118287;Y;730;1015970
14896;86634;Y;481;1052205
6202;111601;Y;678;1030822
5846;118463;Y;345;1073424
2489;7498;Y;495;1026134
2861;33937;Y;295;1064429
7487;82922;Y;464;1030157
6317;68211;N;352;1065412
6806;54584;Y;673;1032256
1997;25992;Y;264;1082406
6417;73923;N;95;1063175
9038;130155;Y;648;1027652
4567;65034;Y;447;1050824
10073;85057;Y;390;1074795
6958;91287;Y;505;1038366
4811;11736;N;1101;1007489
13727;76888;Y;327;1058486
8752;10126;Y;318;1090520
2599;36358;N;351;1065512
2576;64637;Y;592;1035941
3178;53857;N;185;1097488
242;45078;Y;341;1074162
2860;84266;N;799;1023699
18123;120066;Y;48;1024103
3268;57675;Y;324;1069367
1641;74006;Y;940;1009771
12627;153647;Y;129;1022453
12209;217993;Y;91;1035132
1650;67042;N;20;1037072
306;7892;Y;699;1027106
1150;180163;Y;727;1000785
5520;987;Y;868;1014283
1904;58694;Y;290;1035477
10504;148705;Y;60;1087543
2050;36415;Y;493;1045676
4789;92601;Y;309;1091501
13374;29028;Y;358;1064221
5530;85249;Y;396;1049364
29;37198;Y;689;1019091
30000;226596;Y;689;1023906
10440;200852;Y;504;1008422
7443;155002;Y;1100;1007567
3461;73693;Y;778;1020796
76260;552611;;361;1001813
4070;117473;Y;682;1019935
1687;5194;Y;74;1032539
7868;81449;Y;386;1078031
5283;58202;Y;239;1067422
12667;174556;N;442;1050577
4512;62405;Y;70;1091266
1206;54925;Y;334;1088872
1047;79014;Y;638;1041810
6882;86602;Y;277;1030346
2147;6929;N;486;1044230
5757;116262;Y;13;1027304
5045;106401;Y;430;1067140
14611;219196;;705;1017656
2154;74071;N;131;1024124
1557;28322;N;295;1064472
9206;168532;N;111;1041213
10206;139671;N;992;1009534
10808;118817;N;175;1035526
9876;96177;N;372;1043720
22072;160962;Y;288;1020073
6162;109179;Y;995;1007377
31747;28732;Y;391;1042128
10529;16599;Y;430;1035814
2307;122789;Y;251;1005730
1010;14627;N;342;1066788
14880;187596;Y;483;1017744
5811;4859;Y;189;1096486
8359;154855;Y;367;1084183
8253;92031;Y;81;1050240
1311;36133;N;346;1055472
7168;57309;N;131;1070376
8352;114895;N;95;1092860
1239;41259;Y;260;1077764
2256;43748;N;371;1082770
56464;489529;N;177;1016407
5508;13911;Y;337;1075124
14881;126103;N;230;1069133
24601;16817;N;421;1027315
4167;52618;Y;234;1073848
4523;30428;;119;1096542
4778;107686;Y;409;1037162
9729;125421;Y;25;1018653
15880;101844;N;345;1055646
2714;83795;Y;1076;1008664
1248;34432;;295;1086331
10157;188845;Y;1019;1009116
9884;114185;Y;13;1037309
19270;206618;Y;226;1038579
1266;31567;Y;233;1074168
14592;132021;N;99;1041407
10345;122823;N;1;1087633
2129;3255;Y;247;1071743
7972;12919;N;571;1048684
114;28351;Y;292;1064918
5013;8749;Y;364;1084796
40721;313428;N;660;1021576
6603;57703;Y;549;1031052
4481;76052;Y;574;1042140
4211;57822;N;38;1054125
5975;4246;N;458;1054882
5645;133805;Y;707;1018139
9533;128833;Y;53;1019593
13466;16409;Y;246;1086592
447402;143015;Y;616;1000398
15497;94535;Y;371;1052441
12401;227305;N;351;1028714
4201;73463;Y;674;1032046
9299;80985;N;228;1096024
4796;71878;Y;334;1075808
7619;101065;Y;736;1023880
4508;49268;Y;322;1090135
462;78637;Y;792;1012974
12505;130747;N;470;1048051
4782;61168;Y;252;1081483
10567;138022;Y;635;1030002
12412;150285;N;781;1016603
230;47043;Y;1067;1098739
2201;3238;N;325;1069208
2023;96478;Y;517;1047927
6493;76387;N;483;1061215
1853;235;Y;507;1049122
5751;14766;Y;91;1010948
3469;125163;N;847;1013257
16052;176966;N;465;1004085
16764;1665;Y;516;1037393
2042;32973;Y;200;1083443
2827;64551;N;276;1067409
1055;127415;Y;384;1059638
607;33851;Y;263;1094482
5862;96746;Y;732;1015855
19589;189768;N;176;1087379
1025;18092;Y;406;1063745
3841;56402;N;384;1078325
4841;63536;Y;286;1047520
2808;60013;N;338;1056729
5456;65317;Y;44;1069917
9425;174417;N;383;1067472
15395;154035;Y;231;1074622
1481;58644;Y;531;1041817
7844;114818;N;85;1025747
3659;93201;Y;740;1020240
4040;75232;Y;144;1046882
5196;47127;Y;73;1086792
10451;99629;N;329;1058076
9490;119814;Y;493;1059172
3279;63889;N;405;1055888
2722;83997;N;483;1051993
2898;50367;Y;206;1091118
2089;125033;Y;1182;1002837
9840;83868;Y;495;1039182
2769;94538;N;588;1046960
5297;87255;Y;478;1058333
923;76211;Y;441;1051501
15086;156766;N;213;1066029
3878;58036;N;185;1026507
4481;131788;Y;754;1014707
902;707;Y;713;1022227
3373;28964;Y;315;1070770
1591;52369;Y;274;1094080
11850;144197;Y;204;1038104
738;16358;N;262;1083416
668802;154779;Y;1500;1001133
2248;11577;N;184;1086805
5160;81004;N;368;1059238
2435;82876;Y;283;1039146
1722;45295;Y;325;1089728
2411;55102;N;39;1089425
6608;70848;N;54;1088126
12082;156772;Y;854;1015104
19842;317139;N;387;1001979
1451;91651;Y;716;1099161
4965;74248;Y;462;1042497
984;127184;Y;1090;1005263
2052;32536;Y;184;1089543
1629;31969;;290;1075263
2006;93357;Y;555;1033795
282;32736;Y;420;1046945
9989;75801;Y;456;1024084
2863;64588;Y;260;1090242
5038;70046;Y;11;1085363
5290;65049;N;127;1075691
25943;248784;Y;48;1011005
22629;19868;N;91;1019312
3725;94902;N;205;1026740
5369;1833;N;336;1075421
3906;123316;Y;608;1097773
2022;113269;Y;584;1036711
7304;96775;N;264;1050752
2866;80271;N;748;1014989
5352;179653;Y;865;1018329
431;58083;Y;264;1089792
4077;93125;Y;793;1019547
844;4981;Y;336;1057010
4209;4625;Y;93;1054387
1212;67869;Y;668;1038869
10534;205486;N;138;1009505
3537;54517;Y;376;1080558
12644;125005;Y;114;1080576
23120;346038;Y;341;1008625
6208;4172;N;198;1084152
9927;105702;Y;71;1062316
2347;46955;N;251;1095203
11288;146387;Y;344;1022624
655;19968;Y;240;1095708
4234;107329;N;936;1007136
6853;136791;Y;237;1047884
11792;62696;N;282;1066629
7737;6104;Y;423;1061002
11478;22778;Y;447;1003382
5637;41209;Y;310;1049509
18583;299418;N;246;1007850
1484;52382;Y;325;1059006
7428;122045;Y;271;1020287
12960;245642;Y;635;1023350
14181;18774;Y;239;1025393
8807;67347;Y;25;1087920
28732;296323;Y;287;1066703
2655;57767;Y;425;1053373
1965;3088;Y;202;1082720
5726;11891;Y;1315;1098201
8347;46716;N;188;1095329
20492;132675;Y;504;1057033
11452;53485;Y;136;1078876
1206;99247;Y;985;1007985
3651;4554;Y;247;1071708
10709;95677;N;218;1084093
4185;26797;Y;188;1092708
2228;56401;Y;220;1096240
9001;132962;Y;762;1014189
12678;145923;N;872;1097652
14431;184572;Y;769;1017509
341;63562;Y;308;1083308
618;88633;Y;418;1061881
12122;105433;Y;54;1016934
658;49701;Y;374;1081326
13273;124405;N;535;1053006
8658;83335;N;388;1077428
6739905667;617928;Y;299;1000211
4904;58716;Y;532;1032517
23;16553;Y;14;1096976
2574;46297;Y;355;1071730
60040;570945;Y;367;1000957
11070;165058;Y;56;1031126
4936;170917;Y;209;1001602
9072;97841;Y;326;1069138
4265;56137;N;300;1073252
3234;4521;N;302;1084991
7835;114366;Y;687;1019269
9534;84531;Y;374;1081583
2777;44191;Y;613;1025069
718;32635;N;359;1063342
2714;10189;Y;970;1012561
2014;65875;N;682;1024492
5123;87667;Y;415;1062255
5681;43479;Y;221;1076927
1970;42866;Y;127;1084350
3885;45615;Y;411;1063017
2754;95105;Y;832;1013832
1425;18392;Y;439;1057703
6020;175903;Y;625;1043167
4626;26857;N;205;1081693
5799;83178;Y;597;1030440
7376;120559;Y;711;1017251
9019;163603;Y;614;1044211
12005;1204;N;0;1044974
3053;40301;N;244;1095528
12932;111584;N;522;1047507
3670;742;N;479;1040723
11699;16052;N;259;1025315
15861;89471;N;112;1075197
15927;230737;Y;500;1049910
10430;147162;Y;579;1028648
2692;23105;Y;213;1077127
17248;175794;N;486;1013725
11035;195218;Y;304;1091963
2809;61559;Y;481;1040562
5407;108109;Y;131;1009884
9323;97065;Y;568;1031370
10130;98935;N;330;1058035
5425;74429;;91;1093201
4929;52509;Y;227;1075511
1078;74356;Y;311;1082120
10208;70531;Y;339;1074609
2883;93483;;89;1017717
2419;4928;Y;310;1061814
2735;61415;;508;1027781
2424;59753;Y;404;1073784
4447;68051;N;241;1087651
2475;33537;Y;319;1060313
7627;89658;Y;168;1033216
1172;47218;N;780;1016709
14230;120648;N;182;1001452
373;37262;Y;611;1025224
45242;453625;Y;238;1003734
2563;75955;Y;650;1027483
950;44001;Y;295;1092742
5188;141929;Y;437;1013135
3980;59617;N;111;1076969
5374;53633;N;437;1068574
917;28146;Y;373;1081810
380;81205;Y;585;1027744
12;19997;Y;82;1086747
1493;87924;Y;795;1013756
2437;64689;N;518;1037073
6416;55177;Y;97;1033738
